userName,score,content
Oppaku Premium Store,1,"aplikasi ngebug saat melakukan transfer, tampilan tutorialnya tidak full screen dan nge freeze ga bisa dilanjutkan ke tahap berikutnya bad quality"
Cahya Nia0ci,3,"lama-lama muak terlalu banyak update, paling gk suka kalau suruh update. dan kalau gk di update gk bisa buka ini aplikasi....jengkel de. belum tentu semua hp memo penuh"
Recky Gumantara,1,mau buka rekening tapi blm di acc
Nur Hadi,5,Terbantu untuk save keuangan
Budi Yasril,5,Nice BLU BCA..
Gedhe Darma Yuda (GedheYuda),5,Bagus
amirah Sakinah,3,"blu bca tiap mau dibuka selalu lelet ihh loadingnya lamaa, keganggu banget"
alya zahara,3,aplikasinya agak lelet
Duckmenn Sens,5,bagus dan mudah digunakan
Arki Yuzar,5,untuk respon cepat di saat ada kendala
Yann,3,"aplikasi ini bagus memudahkan saya untuk menabung dan transfer, tapi seringkali minta update padahal saya buru buru harus transfer tapi terkendala harus update terlebih dahulu jadi nunggu lama lagi"
Melda Imelda,5,"suka bangett sama blu bca, tp syg sekarang udah ada biaya admin setiap tf 🥹"
Maulana Akbar,3,"ni aplikasi bagus sebenernyaaa,tapi kenaapaa suka ngelagh bgt dah,padahal jaringan bagus"
Hawa Virginia,4,Sudah bagus tapi kurang sat set untuk bayar bayar
Patris Iin,5,"sangat efisien dalam transaksi tertentu, berdicount di transaksi terntentu. Good amplications."
Alif Luthfi,1,"kenapa ya dibatasi mau setor dan tarik tunai di bank BCA, sebulan cuma 1 kali kuota"
Yamin ABLACK43,5,semoga makin bagus.dan banyak bonusnya..blu bca..untuk kawula muda.
Indah Paramitha Rachman,5,"UI nya mantep, simpel ga ngeribetin. minusnya kadang lelet aja klo dibuka. tolong tambahin fitur Qris bayar dong, biar gampang klo belanja ke alfa"
Prabu yulian Samudra,5,bagus...
Winard anto,5,pelayanan sangat baik
Assep Sajja,5,bagus sangat profesional
Fadli Roby,2,"aplikasi ini berat banget slow load sekali, coba kembangkan lagi dari sisi loadingnya"
Sofiatun Nashifa,5,SUKA BGT SMA BLUU SELALU GRATIS ADMIN XIIXIX LOVE U MORE BLU
Tuyulgame E,5,ok
Sugi Arto,5,Aplikasi Bagus Sekali untuk Transaksi
Ajengyuli a27,5,mantab deh
ASEP SAEPULOH,5,sangat mudah dan bermanfaat banget
Arif Hamdani,5,recommended aplikasi bagus cepet cair
Dzaka Dhiya,5,tolong diperbesar button qris nya + kurang responsif di android
Ceritakita Hariini,4,"bagus, mudah di pahami. cuma syg tarik tunai nya masih di kasih limit 1,2. minimal bisalah 2,5 dlm 1kali tarik."
Deca Gaming,3,"secara keseluruhan fitur mantap mudah digunakan, TAPI KEKURANGANNYA aplikasinya lemot banget kalo mau buka fitur/login kalo udah ada kubus muter tulisan blu dah dag dig dug bakal berhasil apa engga nich, semoga bisa segera diperbaiki untuk ke efisienan penggunaan aplikasi dalam bertransaksi #salamhangatpenggunablu"
Katijah,5,bagus
Puspito Nugroho,5,good. must be better from before!
Sio Kemiren,5,mudah buat bisnis
ria delima,2,"maaf ya ngasih bintang 2...karna anakku uangnya hilang 1,5 diaplikasi ini...sudah hub ccnya...tapi sampe sekarang blm ada kejelasan..."
Ade Maulana,1,verifikasi anaknya bertele2 susah dihubungin juga... asli ngeselin
Sigit P.,5,boljug bre
Hazmy Edu,1,"Batal buat rekening karena saat Video Call suara kecil, dan saat meminta diulang pertanyaan nya malah tlp disudahi, diminta pasang headset dulu sebelum tlp"
Mulia,2,aflikasi yg amat sangat susah di akses.mana sering nlponin.kek afk pinjol
Rizki S Hamdani,1,"Perbaiki pelayanan waktu buka rekening,CS nya kurang ramah,aplikasinya agak berat di banding yg lain"
evi rumpoko,5,knp blu account nya ga bs ditf dr bank lain ya...gagal terus
Alfan Maulana Akbar,5,"Menurut saya, blu jadi bank digital paling keren nomer satu 🙌🏻"
Ihdal Rusnayain,1,"Aplikasi sejak ditambah menu macam-macam sekarang jadi berat, gak user friendly lagi . Sinyal bagus hape saya Vivo V27 5G hape spek flagship ini tapi tetap aja gak bisa buka APK . Tolong update selanjutnya agar diperbaiki."
